"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";5;5
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Malta"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Nemèija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";56;70
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Nizozemska"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";12;16
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Norveška"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Poljska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";24;28
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Portugalska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Romunija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";15;34
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";4;7
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Slovaška"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";5;6
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Srbija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";24;39
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Španija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;1
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Švedska"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;2
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Švica"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";33;38
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Turèija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Ukrajina"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";6;6
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";3;6
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Avstralija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";12;13
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Izrael"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Japonska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Brazilija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;1
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Kanada"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;1
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Združene države (ZDA)"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";3;6
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";"Penzioni"
" ";" ";"Avstrija"
" ";" ";" ";"2008";493;1287
" ";" ";" ";"2009";480;1359
" ";" ";" ";"2010";219;452
" ";" ";" ";"2011";228;426
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";260;535
" ";" ";" ";"2014";265;490
" ";" ";" ";"2015";374;662
" ";" ";" ";"2016";358;726
" ";" ";" ";"2017";567;949
" ";" ";"Belgija"
" ";" ";" ";"2008";39;73
" ";" ";" ";"2009";63;137
" ";" ";" ";"2010";29;57
" ";" ";" ";"2011";36;105
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";65;149
" ";" ";" ";"2014";58;107
" ";" ";" ";"2015";63;138
" ";" ";" ";"2016";66;138
" ";" ";" ";"2017";106;220
" ";" ";"Bolgarija"
" ";" ";" ";"2008";166;217
" ";" ";" ";"2009";457;564
" ";" ";" ";"2010";98;161
" ";" ";" ";"2011";47;67
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";76;137
" ";" ";" ";"2014";170;199
" ";" ";" ";"2015";292;383
" ";" ";" ";"2016";258;331
" ";" ";" ";"2017";254;303
" ";" ";"Bosna in Hercegovina"
" ";" ";" ";"2008";1921;4324
" ";" ";" ";"2009";2058;4880
" ";" ";" ";"2010";2055;4668
" ";" ";" ";"2011";260;583
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";162;213
" ";" ";" ";"2014";151;287
" ";" ";" ";"2015";161;263
" ";" ";" ";"2016";172;286
" ";" ";" ";"2017";225;399
" ";" ";"Ciper"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";1;1
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";5;40
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Èeška republika"
" ";" ";" ";"2008";118;275
" ";" ";" ";"2009";167;515
" ";" ";" ";"2010";28;54
" ";" ";" ";"2011";58;90
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";110;184
" ";" ";" ";"2014";91;142
" ";" ";" ";"2015";101;274
" ";" ";" ";"2016";130;263
" ";" ";" ";"2017";213;382
" ";" ";"Èrna gora"
" ";" ";" ";"2008";1;5
" ";" ";" ";"2009";38;88
" ";" ";" ";"2010";4;15
" ";" ";" ";"2011";11;22
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";10;23
" ";" ";" ";"2014";10;20
" ";" ";" ";"2015";10;21
" ";" ";" ";"2016";32;78
" ";" ";" ";"2017";55;132
" ";" ";"Danska"
" ";" ";" ";"2008";17;24
" ";" ";" ";"2009";10;33
" ";" ";" ";"2010";7;16
" ";" ";" ";"2011";12;23
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";9;19
" ";" ";" ";"2014";11;20
" ";" ";" ";"2015";11;21
" ";" ";" ";"2016";7;34
" ";" ";" ";"2017";22;30
" ";" ";"Estonija"
" ";" ";" ";"2008";9;72
" ";" ";" ";"2009";9;98
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";2;2
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";2;2
" ";" ";" ";"2014";9;46
" ";" ";" ";"2015";5;5
" ";" ";" ";"2016";12;52
" ";" ";" ";"2017";11;11
" ";" ";"Finska"
" ";" ";" ";"2008";4;8
" ";" ";" ";"2009";6;8
" ";" ";" ";"2010";2;4
" ";" ";" ";"2011";2;4
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";4;6
" ";" ";" ";"2014";4;6
" ";" ";" ";"2015";13;22
" ";" ";" ";"2016";4;7
" ";" ";" ";"2017";19;27
" ";" ";"Francija"
" ";" ";" ";"2008";108;204
" ";" ";" ";"2009";152;247
" ";" ";" ";"2010";68;154
" ";" ";" ";"2011";60;132
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";135;269
" ";" ";" ";"2014";125;215
" ";" ";" ";"2015";158;261
" ";" ";" ";"2016";130;204
" ";" ";" ";"2017";173;310
" ";" ";"Grèija"
" ";" ";" ";"2008";2;2
" ";" ";" ";"2009";17;22
" ";" ";" ";"2010";5;11
" ";" ";" ";"2011";8;8
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";16;26
" ";" ";" ";"2014";2;3
" ";" ";" ";"2015";12;40
" ";" ";" ";"2016";16;19
" ";" ";" ";"2017";19;24
" ";" ";"Hrvaška"
" ";" ";" ";"2008";841;1781
" ";" ";" ";"2009";910;1910
" ";" ";" ";"2010";637;1184
" ";" ";" ";"2011";1151;1488
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";492;760
" ";" ";" ";"2014";769;1458
" ";" ";" ";"2015";754;3539
" ";" ";" ";"2016";1143;4302
" ";" ";" ";"2017";937;1752
" ";" ";"Irska"
" ";" ";" ";"2008";47;196
" ";" ";" ";"2009";33;75
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";1;1
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";3;3
" ";" ";" ";"2014";4;4
" ";" ";" ";"2015";9;58
" ";" ";" ";"2016";4;4
" ";" ";" ";"2017";9;21
" ";" ";"Islandija"
" ";" ";" ";"2008";13;13
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;3
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";-;-
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";6;6
" ";" ";"Italija"
" ";" ";" ";"2008";1163;2537
" ";" ";" ";"2009";1396;2891
" ";" ";" ";"2010";590;1296
" ";" ";" ";"2011";784;1520
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1288;2567
" ";" ";" ";"2014";1221;2376
" ";" ";" ";"2015";1657;3117
" ";" ";" ";"2016";2370;4348
" ";" ";" ";"2017";2879;5539
" ";" ";"Latvija"
" ";" ";" ";"2008";1;3
" ";" ";" ";"2009";18;28
" ";" ";" ";"2010";1;1
" ";" ";" ";"2011";2;2
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";4;4
" ";" ";" ";"2014";8;48
" ";" ";" ";"2015";3;3
" ";" ";" ";"2016";17;33
" ";" ";" ";"2017";15;37
" ";" ";"Litva"
" ";" ";" ";"2008";6;12
" ";" ";" ";"2009";8;16
" ";" ";" ";"2010";7;14
" ";" ";" ";"2011";7;15
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";10;18
" ";" ";" ";"2014";15;28
" ";" ";" ";"2015";38;47
" ";" ";" ";"2016";28;42
" ";" ";" ";"2017";18;27
" ";" ";"Luksemburg"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";2;2
" ";" ";" ";"2014";11;11
" ";" ";" ";"2015";12;12
" ";" ";" ";"2016";4;4
" ";" ";" ";"2017";19;37
" ";" ";"Madžarska"
" ";" ";" ";"2008";106;280
" ";" ";" ";"2009";86;155
" ";" ";" ";"2010";48;79
" ";" ";" ";"2011";80;118
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";93;153
" ";" ";" ";"2014";107;167
" ";" ";" ";"2015";129;224
" ";" ";" ";"2016";121;315
" ";" ";" ";"2017";221;412
" ";" ";"Makedonija"
" ";" ";" ";"2008";303;617
" ";" ";" ";"2009";371;838
" ";" ";" ";"2010";276;662
" ";" ";" ";"2011";38;78
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";55;151
" ";" ";" ";"2014";60;99
" ";" ";" ";"2015";68;85
" ";" ";" ";"2016";81;128
" ";" ";" ";"2017";96;144
" ";" ";"Malta"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";6;6
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";-;-
" ";" ";" ";"2016";3;6
" ";" ";" ";"2017";10;20
" ";" ";"Nemèija"
" ";" ";" ";"2008";532;1467
" ";" ";" ";"2009";561;1395
" ";" ";" ";"2010";250;727
" ";" ";" ";"2011";254;626
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";367;771
" ";" ";" ";"2014";365;894
" ";" ";" ";"2015";431;877
" ";" ";" ";"2016";417;881
" ";" ";" ";"2017";651;1261
" ";" ";"Nizozemska"
" ";" ";" ";"2008";79;147
" ";" ";" ";"2009";87;174
" ";" ";" ";"2010";52;103
" ";" ";" ";"2011";54;103
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";95;392
" ";" ";" ";"2014";62;122
" ";" ";" ";"2015";111;285
" ";" ";" ";"2016";104;203
" ";" ";" ";"2017";165;399
" ";" ";"Norveška"
" ";" ";" ";"2008";10;19
" ";" ";" ";"2009";14;25
" ";" ";" ";"2010";4;9
" ";" ";" ";"2011";2;4
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";4;4
" ";" ";" ";"2014";3;9
" ";" ";" ";"2015";2;2
" ";" ";" ";"2016";10;12
" ";" ";" ";"2017";32;120
" ";" ";"Poljska"
" ";" ";" ";"2008";34;58
" ";" ";" ";"2009";42;64
" ";" ";" ";"2010";8;12
" ";" ";" ";"2011";26;43
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";56;81
" ";" ";" ";"2014";38;71
" ";" ";" ";"2015";97;143
" ";" ";" ";"2016";96;184
" ";" ";" ";"2017";143;192
" ";" ";"Portugalska"
" ";" ";" ";"2008";11;24
" ";" ";" ";"2009";15;28
" ";" ";" ";"2010";19;60
" ";" ";" ";"2011";20;65
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";2;5
" ";" ";" ";"2014";21;54
" ";" ";" ";"2015";5;18
" ";" ";" ";"2016";3;6
" ";" ";" ";"2017";9;36
" ";" ";"Romunija"
" ";" ";" ";"2008";81;231
" ";" ";" ";"2009";131;241
" ";" ";" ";"2010";55;123
" ";" ";" ";"2011";18;24
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";75;127
" ";" ";" ";"2014";45;122
" ";" ";" ";"2015";100;168
" ";" ";" ";"2016";85;125
" ";" ";" ";"2017";131;188
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";9;15
" ";" ";" ";"2009";19;37
" ";" ";" ";"2010";6;8
" ";" ";" ";"2011";40;115
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";64;274
" ";" ";" ";"2014";92;149
" ";" ";" ";"2015";60;187
" ";" ";" ";"2016";105;229
" ";" ";" ";"2017";200;430
" ";" ";"Slovaška"
" ";" ";" ";"2008";146;291
" ";" ";" ";"2009";142;303
" ";" ";" ";"2010";105;242
" ";" ";" ";"2011";28;46
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";66;153
" ";" ";" ";"2014";31;83
" ";" ";" ";"2015";73;137
" ";" ";" ";"2016";32;41
" ";" ";" ";"2017";89;121
" ";" ";"Srbija"
" ";" ";" ";"2008";369;751
" ";" ";" ";"2009";503;1016
" ";" ";" ";"2010";381;816
" ";" ";" ";"2011";197;440
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";326;627
" ";" ";" ";"2014";424;1226
" ";" ";" ";"2015";533;861
" ";" ";" ";"2016";552;924
" ";" ";" ";"2017";784;1339
" ";" ";"Španija"
" ";" ";" ";"2008";24;49
" ";" ";" ";"2009";29;45
" ";" ";" ";"2010";18;40
" ";" ";" ";"2011";24;43
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";21;43
" ";" ";" ";"2014";40;53
" ";" ";" ";"2015";49;102
" ";" ";" ";"2016";31;78
" ";" ";" ";"2017";39;68
" ";" ";"Švedska"
" ";" ";" ";"2008";17;35
" ";" ";" ";"2009";40;125
" ";" ";" ";"2010";7;20
" ";" ";" ";"2011";18;46
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";6;8
" ";" ";" ";"2014";11;15
" ";" ";" ";"2015";32;74
" ";" ";" ";"2016";29;49
" ";" ";" ";"2017";46;106
" ";" ";"Švica"
" ";" ";" ";"2008";86;143
" ";" ";" ";"2009";119;159
" ";" ";" ";"2010";19;38
" ";" ";" ";"2011";28;33
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";84;117
" ";" ";" ";"2014";41;49
" ";" ";" ";"2015";99;173
" ";" ";" ";"2016";74;87
" ";" ";" ";"2017";141;235
" ";" ";"Turèija"
" ";" ";" ";"2008";15;17
" ";" ";" ";"2009";27;34
" ";" ";" ";"2010";7;14
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";46;167
" ";" ";" ";"2014";18;39
" ";" ";" ";"2015";41;47
" ";" ";" ";"2016";6;6
" ";" ";" ";"2017";10;10
" ";" ";"Ukrajina"
" ";" ";" ";"2008";4;10
" ";" ";" ";"2009";8;10
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";3;5
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";27;52
" ";" ";" ";"2014";60;147
" ";" ";" ";"2015";72;135
" ";" ";" ";"2016";109;133
" ";" ";" ";"2017";153;261
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";32;92
" ";" ";" ";"2009";60;116
" ";" ";" ";"2010";50;115
" ";" ";" ";"2011";52;113
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";69;115
" ";" ";" ";"2014";53;98
" ";" ";" ";"2015";96;194
" ";" ";" ";"2016";93;222
" ";" ";" ";"2017";99;199
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";3;5
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";4;4
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;1
" ";" ";" ";"2014";2;2
" ";" ";" ";"2015";-;-
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";1;2
" ";" ";"Avstralija"
" ";" ";" ";"2008";33;63
" ";" ";" ";"2009";45;70
" ";" ";" ";"2010";15;27
" ";" ";" ";"2011";16;22
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";20;27
" ";" ";" ";"2014";20;26
" ";" ";" ";"2015";29;38
" ";" ";" ";"2016";31;38
" ";" ";" ";"2017";35;46
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";5;5
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";2;4
" ";" ";" ";"2011";2;2
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";5;12
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";-;-
" ";" ";" ";"2016";2;2
" ";" ";" ";"2017";1;1
" ";" ";"Izrael"
" ";" ";" ";"2008";34;80
" ";" ";" ";"2009";77;141
" ";" ";" ";"2010";20;33
" ";" ";" ";"2011";42;54
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";60;73
" ";" ";" ";"2014";50;73
" ";" ";" ";"2015";158;248
" ";" ";" ";"2016";146;207
" ";" ";" ";"2017";127;254
" ";" ";"Japonska"
" ";" ";" ";"2008";1;2
" ";" ";" ";"2009";6;12
" ";" ";" ";"2010";2;4
" ";" ";" ";"2011";3;6
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";2;3
" ";" ";" ";"2014";2;4
" ";" ";" ";"2015";1;2
" ";" ";" ";"2016";26;38
" ";" ";" ";"2017";7;15
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008";4;14
" ";" ";" ";"2009";15;37
" ";" ";" ";"2010";4;15
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";10;16
" ";" ";" ";"2014";5;6
" ";" ";" ";"2015";-;-
" ";" ";" ";"2016";12;12
" ";" ";" ";"2017";6;6
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";2;2
" ";" ";" ";"2014";2;2
" ";" ";" ";"2015";2;2
" ";" ";" ";"2016";6;9
" ";" ";" ";"2017";-;-
" ";" ";"Brazilija"
" ";" ";" ";"2008";23;50
" ";" ";" ";"2009";6;6
" ";" ";" ";"2010";1;4
" ";" ";" ";"2011";2;3
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";10;20
" ";" ";" ";"2014";10;19
" ";" ";" ";"2015";4;6
" ";" ";" ";"2016";6;13
" ";" ";" ";"2017";3;3
" ";" ";"Kanada"
" ";" ";" ";"2008";5;5
" ";" ";" ";"2009";5;10
" ";" ";" ";"2010";3;6
" ";" ";" ";"2011";10;14
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";23;26
" ";" ";" ";"2014";15;19
" ";" ";" ";"2015";10;32
" ";" ";" ";"2016";16;53
" ";" ";" ";"2017";33;53
" ";" ";"Združene države (ZDA)"
" ";" ";" ";"2008";18;34
" ";" ";" ";"2009";145;410
" ";" ";" ";"2010";65;131
" ";" ";" ";"2011";33;37
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";22;49
" ";" ";" ";"2014";38;57
" ";" ";" ";"2015";58;82
" ";" ";" ";"2016";57;87
" ";" ";" ";"2017";68;106
" ";"Gostišèa"
" ";" ";"Avstrija"
" ";" ";" ";"2008";2674;5596
" ";" ";" ";"2009";2602;5692
" ";" ";" ";"2010";82;199
" ";" ";" ";"2011";109;202
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";132;201
" ";" ";" ";"2014";110;182
" ";" ";" ";"2015";138;308
" ";" ";" ";"2016";1455;3441
" ";" ";" ";"2017";227;394
" ";" ";"Belgija"
" ";" ";" ";"2008";10;22
