"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2017";260;861
" ";" ";"Romunija"
" ";" ";" ";"2008";867;2009
" ";" ";" ";"2009";682;2310
" ";" ";" ";"2010";959;3290
" ";" ";" ";"2011";1133;3658
" ";" ";" ";"2012";1251;4448
" ";" ";" ";"2013";1009;4090
" ";" ";" ";"2014";1337;5101
" ";" ";" ";"2015";1452;5836
" ";" ";" ";"2016";1642;6646
" ";" ";" ";"2017";2661;9607
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";6304;61377
" ";" ";" ";"2009";6886;71292
" ";" ";" ";"2010";9780;108158
" ";" ";" ";"2011";12132;127828
" ";" ";" ";"2012";16402;193486
" ";" ";" ";"2013";14773;161864
" ";" ";" ";"2014";13677;147407
" ";" ";" ";"2015";9256;86908
" ";" ";" ";"2016";9252;86208
" ";" ";" ";"2017";13575;130944
" ";" ";"Slovaška"
" ";" ";" ";"2008";1316;3288
" ";" ";" ";"2009";1192;3461
" ";" ";" ";"2010";1343;3554
" ";" ";" ";"2011";1470;3724
" ";" ";" ";"2012";1610;4513
" ";" ";" ";"2013";1470;4371
" ";" ";" ";"2014";1390;3631
" ";" ";" ";"2015";1392;3794
" ";" ";" ";"2016";1537;4537
" ";" ";" ";"2017";1899;5683
" ";" ";"Srbija"
" ";" ";" ";"2008";5563;17426
" ";" ";" ";"2009";6860;23003
" ";" ";" ";"2010";16451;52632
" ";" ";" ";"2011";15535;49833
" ";" ";" ";"2012";14750;46338
" ";" ";" ";"2013";15104;47553
" ";" ";" ";"2014";14078;43700
" ";" ";" ";"2015";14332;44326
" ";" ";" ";"2016";16071;47154
" ";" ";" ";"2017";18266;52238
" ";" ";"Španija"
" ";" ";" ";"2008";722;1799
" ";" ";" ";"2009";585;1681
" ";" ";" ";"2010";467;1454
" ";" ";" ";"2011";590;1894
" ";" ";" ";"2012";705;2374
" ";" ";" ";"2013";1124;3883
" ";" ";" ";"2014";660;2015
" ";" ";" ";"2015";726;2348
" ";" ";" ";"2016";668;2071
" ";" ";" ";"2017";812;2400
" ";" ";"Švedska"
" ";" ";" ";"2008";773;3217
" ";" ";" ";"2009";543;2613
" ";" ";" ";"2010";625;2799
" ";" ";" ";"2011";727;3068
" ";" ";" ";"2012";744;3478
" ";" ";" ";"2013";760;3225
" ";" ";" ";"2014";749;3177
" ";" ";" ";"2015";775;3694
" ";" ";" ";"2016";842;3533
" ";" ";" ";"2017";1037;3922
" ";" ";"Švica"
" ";" ";" ";"2008";1587;5801
" ";" ";" ";"2009";1314;5704
" ";" ";" ";"2010";1331;4740
" ";" ";" ";"2011";1374;4822
" ";" ";" ";"2012";1566;5924
" ";" ";" ";"2013";1394;5134
" ";" ";" ";"2014";1552;5110
" ";" ";" ";"2015";1577;4928
" ";" ";" ";"2016";1659;5407
" ";" ";" ";"2017";1937;6976
" ";" ";"Turèija"
" ";" ";" ";"2008";401;1124
" ";" ";" ";"2009";341;1167
" ";" ";" ";"2010";223;654
" ";" ";" ";"2011";607;3425
" ";" ";" ";"2012";477;2135
" ";" ";" ";"2013";525;2537
" ";" ";" ";"2014";393;1545
" ";" ";" ";"2015";450;1592
" ";" ";" ";"2016";347;1081
" ";" ";" ";"2017";465;1419
" ";" ";"Ukrajina"
" ";" ";" ";"2008";1211;8410
" ";" ";" ";"2009";1259;9239
" ";" ";" ";"2010";1219;10097
" ";" ";" ";"2011";2016;15829
" ";" ";" ";"2012";3950;21903
" ";" ";" ";"2013";5056;26121
" ";" ";" ";"2014";3094;21610
" ";" ";" ";"2015";2250;18409
" ";" ";" ";"2016";2634;20413
" ";" ";" ";"2017";3476;25161
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";2103;6131
" ";" ";" ";"2009";1936;6148
" ";" ";" ";"2010";1368;4470
" ";" ";" ";"2011";1542;4916
" ";" ";" ";"2012";1516;5852
" ";" ";" ";"2013";1440;5062
" ";" ";" ";"2014";1338;4574
" ";" ";" ";"2015";1630;5376
" ";" ";" ";"2016";1717;6451
" ";" ";" ";"2017";1989;6394
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";12;34
" ";" ";" ";"2009";21;74
" ";" ";" ";"2010";22;51
" ";" ";" ";"2011";39;269
" ";" ";" ";"2012";26;59
" ";" ";" ";"2013";14;63
" ";" ";" ";"2014";56;103
" ";" ";" ";"2015";25;70
" ";" ";" ";"2016";63;576
" ";" ";" ";"2017";110;596
" ";" ";"Avstralija"
" ";" ";" ";"2008";397;1183
" ";" ";" ";"2009";283;893
" ";" ";" ";"2010";294;817
" ";" ";" ";"2011";295;774
" ";" ";" ";"2012";309;1012
" ";" ";" ";"2013";277;876
" ";" ";" ";"2014";232;658
" ";" ";" ";"2015";268;719
" ";" ";" ";"2016";246;897
" ";" ";" ";"2017";406;1075
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";39;71
" ";" ";" ";"2009";38;239
" ";" ";" ";"2010";87;179
" ";" ";" ";"2011";26;31
" ";" ";" ";"2012";42;75
" ";" ";" ";"2013";16;46
" ";" ";" ";"2014";29;80
" ";" ";" ";"2015";46;97
" ";" ";" ";"2016";22;61
" ";" ";" ";"2017";30;67
" ";" ";"Izrael"
" ";" ";" ";"2008";3818;16972
" ";" ";" ";"2009";1894;10877
" ";" ";" ";"2010";1055;9164
" ";" ";" ";"2011";1250;10779
" ";" ";" ";"2012";2902;19196
" ";" ";" ";"2013";3804;24514
" ";" ";" ";"2014";2718;21260
" ";" ";" ";"2015";4721;29702
" ";" ";" ";"2016";8138;56450
" ";" ";" ";"2017";4314;29524
" ";" ";"Japonska"
" ";" ";" ";"2008";302;560
" ";" ";" ";"2009";137;304
" ";" ";" ";"2010";143;325
" ";" ";" ";"2011";141;308
" ";" ";" ";"2012";144;363
" ";" ";" ";"2013";177;554
" ";" ";" ";"2014";153;388
" ";" ";" ";"2015";216;669
" ";" ";" ";"2016";244;715
" ";" ";" ";"2017";202;673
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008";149;251
" ";" ";" ";"2009";41;98
" ";" ";" ";"2010";102;368
" ";" ";" ";"2011";139;551
" ";" ";" ";"2012";68;208
" ";" ";" ";"2013";156;434
" ";" ";" ";"2014";267;531
" ";" ";" ";"2015";326;865
" ";" ";" ";"2016";685;1850
" ";" ";" ";"2017";798;1804
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008";119;145
" ";" ";" ";"2009";18;79
" ";" ";" ";"2010";22;104
" ";" ";" ";"2011";64;317
" ";" ";" ";"2012";70;276
" ";" ";" ";"2013";185;287
" ";" ";" ";"2014";974;1031
" ";" ";" ";"2015";1789;2478
" ";" ";" ";"2016";773;1302
" ";" ";" ";"2017";1828;2080
" ";" ";"Brazilija"
" ";" ";" ";"2008";85;436
" ";" ";" ";"2009";69;309
" ";" ";" ";"2010";39;163
" ";" ";" ";"2011";86;468
" ";" ";" ";"2012";124;678
" ";" ";" ";"2013";84;487
" ";" ";" ";"2014";134;504
" ";" ";" ";"2015";118;574
" ";" ";" ";"2016";162;777
" ";" ";" ";"2017";193;818
" ";" ";"Kanada"
" ";" ";" ";"2008";352;1369
" ";" ";" ";"2009";369;1394
" ";" ";" ";"2010";484;1917
" ";" ";" ";"2011";373;1617
" ";" ";" ";"2012";375;1436
" ";" ";" ";"2013";366;1519
" ";" ";" ";"2014";445;1741
" ";" ";" ";"2015";387;1540
" ";" ";" ";"2016";604;2433
" ";" ";" ";"2017";583;2496
" ";" ";"Združene države (ZDA)"
" ";" ";" ";"2008";1263;4746
" ";" ";" ";"2009";1176;4453
" ";" ";" ";"2010";1124;6472
" ";" ";" ";"2011";1116;3663
" ";" ";" ";"2012";1293;6027
" ";" ";" ";"2013";1431;5766
" ";" ";" ";"2014";1114;3538
" ";" ";" ";"2015";1338;5620
" ";" ";" ";"2016";1678;6120
" ";" ";" ";"2017";1648;6370
" ";"Moteli"
" ";" ";"Avstrija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";58;70
" ";" ";" ";"2014";z;z
