"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Prijaznost lokalnega prebivalstva";103561;51689;38622;8399;N;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";103561;15917;37304;23497;N;N;21645
" ";" ";"Ponudba kulturnih prireditev";103561;11175;22563;23385;7721;N;34806
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";103561;10281;21856;18974;N;N;42250
" ";" ";"Ponudba športnih prireditev";103561;N;7944;20579;N;N;52511
" ";" ";"Zdravstvena ponudba";103561;N;11028;17161;N;N;62555
" ";" ";"Dobropoèutna ponudba";103561;13691;16655;14960;N;N;50270
" ";" ";"Ponudba lokalne gastronomije";103561;25777;45964;16930;N;N;8796
" ";" ";"Možnosti za nakupovanje";103561;19176;36601;19169;N;N;21793
" ";" ";"Noèno življenje in zabava";103561;12314;16181;17971;N;N;47362
" ";" ";"Možnosti za poèitek";103561;24105;45823;16671;N;N;14472
" ";" ";"Primerno za družine";103561;20384;38645;15344;N;N;27089
" ";" ";"Ponudba kazinojev in igralnic";103561;9884;N;14686;N;N;67607
" ";" ";"Konferenèna ponudba";103561;N;13847;12363;N;N;68707
" ";" ";"Kakovost nastanitve";103561;30229;55601;12708;N;N;N
" ";" ";"Cenovna ugodnost ponudbe";103561;25505;54651;17429;N;N;N
" ";" ";"Sloves destinacije";103561;30358;42997;21179;N;N;5750
"April"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Osebna varnost";141715;74703;59220;3639;N;N;N
" ";" ";"Dostopnost turistiènih informacij";141715;44393;72451;16015;N;N;7287
" ";" ";"Enostavnost dostopnosti destinacije";141715;51024;70020;12248;N;N;6714
" ";" ";"Cenovna ugodnost prevoza do destinacije";141715;26370;66783;26480;N;N;19419
" ";" ";"Organizacija lokalnega prevoza";141715;25626;44687;20136;4353;N;46462
" ";" ";"Splošna èistoèa destinacije";141715;62019;62767;10095;N;N;4930
" ";" ";"Neokrnjena narava";141715;49813;65634;15532;N;N;9169
" ";" ";"Podnebne razmere";141715;41672;69456;22570;N;N;4623
" ";" ";"Skrb za okolje";141715;45051;68396;14910;N;N;11808
" ";" ";"Prijaznost lokalnega prebivalstva";141715;67098;58032;11053;N;N;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";141715;27790;64428;23569;N;N;20880
" ";" ";"Ponudba kulturnih prireditev";141715;13261;48514;33819;5530;N;39225
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";141715;17106;44339;29497;N;N;47674
" ";" ";"Ponudba športnih prireditev";141715;13414;34172;29096;2890;N;60892
" ";" ";"Zdravstvena ponudba";141715;17957;34754;13192;N;N;72301
